Name
A. K. Hangal
Aadhi
Anjana Sukhani
Anju Mahendru
Ankita Lokhande
Ann Augustine
Ansiba Hassan
Antara Mali
Anu Aggarwal
Anu Prabhakar
Anu Sithara
Anupama Parameswaran
Anupriya Goenka
Anuradha Mehta
Anurita Jha
Anusha Dandekar
Anushka Ranjan
Anushka Sen
Anushka Sharma
Anushka Shetty
Anuya Bhagvath
Anya Singh
Aparnaa Bajpai
Aparna Balamurali
Aparna Sen
Apoorva Arora
Archana
Archana Jose Kavi
Archana Puran Singh
Archana Gupta
Archita Sahu
Aruna Balraj
Aruna Irani
Aruna Shields
Arundathi Nag
Asawari Joshi
Asha Negi
Asha Bhat
Asha Parekh
Asha Saini
Ashima Bhalla
Ashnoor Kaur
Ashwini Bhave
Ashwini Kalsekar
Asin Thottumkal
Athiya Shetty
Athulya Ravi
Ayesha Jhulka
Ayesha Raza
Ayesha Takia
Akanksha Puri
Avani Modi
Avantika Mishra
Avneet Kaur
Auritra Ghosh
Babita
Barkha Bisht
Barkha Singh
Bala Hijam
Barsha Priyadarshini
Barsha Rani Bishaya
Beena Banerjee
Bhagyashree Patwardhan
Bhairavi Goswami
Bhama
Bhanumathi
Bhanupriya
Bharathi Vishnuvardhan
Bhargavi Narayan
Bhavana
Bhavana (actress)
Bhavana Rao
Bhavani Prakash
Bhavya
Bhoomika Chawla
Bhumi Pednekar
Bijoya Ray
Bianca Desai
Bidita Bag
Bindu
Bindu Madhavi
Bipasha Basu
Bina Rai
Bobby Darling
Bruna Abdullah
B. V. Radha
Kainaat Arora
Kajal Aggarwal
Kajal Kiran
Kajjanbai
Kajol
Kalki Koechlin
Kalpana (Kannada actress)
Kalpana (Hindi Film actress)
Kalpana (Malayalam actress)
Kalpana Iyer
Kalpana Kartik
Kalyani Priyadarshan
Kamini Kaushal
Kamini Kadam
Kamalinee Mukherjee
Kamna Jethmalani
Kanaka
Kanakam
Kanchana
Kangana Ranaut
Kanika Subramaniam
Kareena Kapoor
Karishma Kapoor
Karishma Kotak
Karishma Sharma
Karishma Tanna
Karunya Ram
Karthika Mathew
Karthika Nair
Katrina Kaif
Kashmira Irani
Kashmira Shah
Kausalya
Kaviyoor Ponnamma
Kavya Madhavan
Keerthi Bhat
Keerthi Reddy
Keerthi Suresh
Kiara Advani
Kimi Katkar
Kimi Verma
Kim Sharma
Kim Yashpal
Kiran Rathod
Kirron Kher
Kirat Bhattal
Kiran Juneja
Kirti Kulhari
Kitu Gidwani
Koel Mallick
Koel Purie
Koena Mitra
Komal
Komal Jha
Konkona Sen Sharma
K. R. Vijaya
Krishna Kumari
Kriti Kharbanda
Kriti Sanon
Kritika Kamra
Krystle D'Souza
Kubbra Sait
Khushbu Sundar
Kumari
Kumkum
Kuljeet Randhawa
Kulraj Randhawa
Kyra Dutt
Laila Mehdin
Lalita Pawar
Lalitha
Lalitha
Lara Dutta
Lakshmi
Lakshmi Chandrashekar
Lakshmidevi
Laxmi Chhaya
Lakshmi Gopalaswamy
Lakshmi Manchu
Lakshmi Menon
Lakshmi Rai
Latha
Lauren Gottlieb
Lavanya Tripathi
Laya
Leela Chitnis
Leelavathi
Leena Chandavarkar
Leena Jumani
Lekha Washington
Lena
Leslie Tripathy
Lilette Dubey
Lisa Ray
Lisa Haydon
Madhavi
Madhoo
Madhubala
Madhumitha
Madhuri Bhattacharya
Madhuri Dixit
Madhuri Itagi
Madhurima Tuli
Madhuurima
Madhu Shalini
Madhura Naik
Madonna Sebastian
Mahasweta Ray
Mahalakshmi
Mahek Chahal
Mahie Gill
Mahika Sharma
Mahima Chaudhry
Mahira Khan
Mahua Roychoudhury
Mala Sinha
Malashri
Malavika
Malaika Arora
Malavika Avinash
Malavika Mohanan
Malavika Nair
Malavika Nair
Malavika Wales
Mallika Kapoor
Mallika Sherawat
Mamta Kulkarni
Mamta Mohandas
Mansi Parekh
Manasvi Mamgai
Mandakini
